Date,Open,High,Low,Close,Adj Close,Volume
2023-01-09,467.790009,470.790009,455.299988,458.989990,446.873657,2377000
2023-01-10,462.179993,465.470001,456.899994,462.290009,450.086548,1003400
2023-01-11,463.369995,465.549988,461.040009,463.000000,450.777771,1056400
2023-01-12,462.989990,465.880005,459.190002,461.739990,449.551025,936600
2023-01-13,446.500000,453.709991,444.739990,449.829987,437.955444,2208600
2023-01-17,450.299988,453.500000,446.670013,447.160004,435.355896,1753100
2023-01-18,447.160004,448.230011,440.649994,441.269989,429.621429,1645100
2023-01-19,442.760010,445.920013,439.029999,439.309998,427.713135,1469900
2023-01-20,441.339996,443.350006,437.619995,443.279999,431.578339,1410000
2023-01-23,443.109985,446.829987,440.859985,441.279999,429.631134,1739600
2023-01-24,442.170013,450.959991,437.690002,449.230011,437.371277,2865000
2023-01-25,448.000000,455.809998,444.839996,454.160004,442.171143,2352500
2023-01-26,455.350006,463.760010,452.829987,459.809998,447.671967,2168900
2023-01-27,460.859985,466.679993,457.450012,459.600006,447.467529,1587700
2023-01-30,462.000000,466.700012,459.899994,460.589996,448.431366,1642000
2023-01-31,462.279999,463.480011,459.010010,463.260010,451.030914,2062000
2023-02-01,462.510010,465.279999,459.799988,462.250000,450.047577,1242500
2023-02-02,458.369995,460.429993,453.920013,457.190002,445.121155,2104700
2023-02-03,459.269989,462.600006,454.940002,459.079987,446.961273,1302900
2023-02-06,463.579987,469.769989,462.750000,469.100006,456.716797,1393500
2023-02-07,472.549988,472.989990,463.149994,468.329987,455.967072,1334800
2023-02-08,464.970001,471.380005,463.320007,469.649994,457.252228,865000
2023-02-09,472.429993,474.339996,468.200012,470.089996,457.680603,799000
2023-02-10,472.380005,481.859985,472.380005,480.829987,468.137115,1436300
2023-02-13,485.190002,489.500000,480.100006,481.970001,469.247009,1203100
2023-02-14,482.450012,485.000000,479.660004,481.579987,468.867310,875600
2023-02-15,480.829987,484.250000,477.399994,480.510010,467.825562,927100
2023-02-16,477.000000,477.579987,466.100006,471.250000,458.809998,1939500
2023-02-17,471.790009,475.660004,470.839996,475.630005,463.074371,1184200
2023-02-21,480.510010,482.399994,475.200012,479.190002,466.540375,1379400
2023-02-22,478.809998,481.670013,477.470001,479.529999,466.871429,900300
2023-02-23,480.000000,483.089996,475.529999,479.079987,466.433319,917400
2023-02-24,479.459991,481.799988,477.299988,480.399994,467.718475,1009300
2023-02-27,480.529999,484.100006,477.190002,479.489990,466.832489,1149000
2023-02-28,477.040009,478.529999,471.820007,474.260010,464.647675,1155500
2023-03-01,473.269989,477.220001,471.290009,474.329987,464.716217,957700
2023-03-02,472.980011,479.170013,472.970001,478.309998,468.615570,835700
2023-03-03,478.899994,479.540009,476.380005,477.890015,468.204132,1060500
2023-03-06,476.820007,481.799988,476.820007,480.170013,470.437927,905700
2023-03-07,481.500000,485.089996,478.000000,478.660004,468.958496,1137900
2023-03-08,481.040009,487.640015,476.709991,479.500000,469.781464,1252900
2023-03-09,483.000000,483.260010,474.609985,475.850006,466.205444,1035000
2023-03-10,475.709991,482.299988,474.420013,475.500000,465.862518,1335000
2023-03-13,471.869995,478.899994,470.799988,477.329987,467.655457,1701000
2023-03-14,480.290009,481.269989,474.869995,478.869995,469.164215,1761400
2023-03-15,475.000000,475.130005,464.570007,473.309998,463.716919,2273300
2023-03-16,470.940002,478.049988,467.739990,473.239990,463.648346,1633000
2023-03-17,474.119995,474.920013,463.290009,465.869995,456.427734,6525100
2023-03-20,468.220001,477.769989,465.209991,475.700012,466.058533,1515400
2023-03-21,478.869995,479.250000,471.299988,474.760010,465.137573,1069000
2023-03-22,475.440002,476.769989,468.320007,468.899994,459.396301,1261700
2023-03-23,468.630005,470.950012,466.500000,467.899994,458.416565,1168500
2023-03-24,467.899994,475.670013,467.149994,474.540009,464.921997,1126000
2023-03-27,477.109985,477.559998,472.410004,473.390015,463.795319,1273000
2023-03-28,474.000000,475.609985,471.160004,471.440002,461.884857,1076100
2023-03-29,471.260010,474.299988,470.679993,474.190002,464.579102,1146400
2023-03-30,474.540009,475.799988,471.730011,473.179993,463.589569,950300
2023-03-31,474.190002,475.350006,471.029999,472.730011,463.148712,1409600
2023-04-03,473.000000,487.899994,472.750000,486.619995,476.757141,1656700
2023-04-04,485.589996,490.630005,484.750000,488.540009,478.638245,1081100
2023-04-05,488.000000,493.829987,487.029999,489.989990,480.058838,1305900
2023-04-06,491.470001,496.980011,489.010010,490.170013,480.235229,1093300
2023-04-10,491.769989,498.420013,491.769989,496.750000,486.681824,1024400
2023-04-11,496.380005,496.750000,487.010010,487.839996,477.952454,1224200
2023-04-12,482.799988,491.250000,481.690002,488.100006,478.207184,1105600
2023-04-13,486.820007,493.510010,485.980011,492.140015,482.165283,909500
2023-04-14,489.940002,491.500000,485.109985,487.989990,478.099396,843200
2023-04-17,486.570007,492.260010,486.570007,489.640015,479.715942,1287800
2023-04-18,499.000000,508.100006,498.000000,501.410004,491.247406,2561800
2023-04-19,502.000000,503.329987,493.880005,495.160004,485.124084,962200
2023-04-20,495.829987,495.829987,489.059998,490.600006,480.656494,839900
2023-04-21,491.239990,491.279999,480.609985,482.549988,472.769653,1382500
2023-04-24,482.390015,483.529999,478.720001,480.920013,471.172699,955200
2023-04-25,480.700012,480.920013,475.559998,475.579987,465.940918,839100
2023-04-26,473.950012,473.950012,459.600006,461.619995,452.263885,1571900
2023-04-27,461.850006,466.329987,461.149994,465.000000,455.575378,1491400
2023-04-28,464.820007,466.160004,462.399994,464.450012,455.036530,1040000
2023-05-01,465.040009,471.079987,464.549988,469.429993,459.915558,1524500
2023-05-02,468.380005,468.529999,457.250000,458.890015,449.589203,1105500
2023-05-03,458.200012,459.470001,452.690002,453.070007,443.887177,1116700
2023-05-04,453.660004,454.040009,446.209991,451.929993,442.770264,962700
2023-05-05,452.690002,457.100006,452.079987,455.540009,446.307098,930000
2023-05-08,456.489990,458.299988,450.070007,450.959991,441.819916,808300
2023-05-09,452.899994,453.910004,450.100006,452.040009,442.878052,623800
2023-05-10,452.809998,453.290009,448.709991,453.149994,443.965515,850900
2023-05-11,450.579987,452.220001,448.540009,450.690002,441.555389,645400
2023-05-12,452.799988,453.869995,447.799988,450.790009,441.653351,696500
2023-05-15,450.790009,453.350006,449.420013,451.920013,442.760468,668300
2023-05-16,452.089996,452.440002,447.660004,447.730011,438.655396,569500
2023-05-17,450.000000,458.410004,449.940002,457.299988,448.031433,1101900
2023-05-18,455.410004,456.739990,449.399994,455.750000,446.512848,1456500
2023-05-19,457.029999,458.269989,452.859985,454.489990,445.278351,804100
2023-05-22,454.000000,457.369995,451.589996,454.720001,445.503723,628000
2023-05-23,452.109985,456.399994,450.000000,452.630005,443.456085,1027200
2023-05-24,453.239990,456.739990,451.179993,452.720001,443.544250,858600
2023-05-25,451.500000,451.500000,439.700012,442.829987,433.854706,1205000
2023-05-26,442.859985,451.769989,442.100006,448.450012,439.360779,1135500
2023-05-30,448.079987,449.049988,444.239990,447.970001,438.890533,1163300
2023-05-31,444.619995,445.929993,443.000000,444.010010,437.943634,1673500
2023-06-01,445.600006,450.779999,443.420013,449.670013,443.526306,878700
2023-06-02,452.119995,456.359985,450.559998,454.489990,448.280426,894200
2023-06-05,456.140015,456.760010,452.480011,454.690002,448.477722,807200
2023-06-06,456.519989,459.339996,454.390015,458.630005,452.363892,816800
2023-06-07,458.119995,463.750000,455.010010,461.750000,455.441254,893100
2023-06-08,462.179993,466.420013,461.459991,464.170013,457.828217,863400
2023-06-09,465.390015,465.390015,460.390015,462.690002,456.368408,713100
2023-06-12,462.790009,462.869995,458.179993,459.869995,453.586945,954400
2023-06-13,456.010010,456.970001,445.890015,452.369995,446.189423,1486300
2023-06-14,451.410004,453.420013,448.570007,452.549988,446.366943,945700
2023-06-15,454.000000,458.510010,453.920013,455.950012,449.720520,892400
2023-06-16,457.730011,461.769989,456.600006,459.170013,452.896545,1642800
2023-06-20,459.480011,461.890015,457.480011,458.380005,452.117310,774800
2023-06-21,461.059998,467.170013,458.010010,466.040009,459.672638,906900
2023-06-22,465.519989,466.049988,461.500000,463.429993,457.098328,688500
2023-06-23,463.519989,465.420013,458.130005,459.359985,453.083923,1347800
